Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank
2022-05-30,005930,삼성전자,KOSPI,,67700,1,1200,1.8,67500,67800,66900,14255484,960592764000,404154278635000,5969782550,STK,1
2022-05-30,373220,LG에너지솔루션,KOSPI,,439500,1,9000,2.09,434500,440000,432000,229834,100590444000,102843000000000,234000000,STK,2
2022-05-30,000660,SK하이닉스,KOSPI,,107000,1,1000,0.94,108000,108000,106000,2054526,219413029151,77896253055000,728002365,STK,3
2022-05-30,207940,삼성바이오로직스,KOSPI,,843000,1,9000,1.08,835000,844000,830000,34264,28788483000,59999682000000,71174000,STK,4
2022-05-30,005935,삼성전자우,KOSPI,,60900,1,800,1.33,60600,60900,60200,805658,48722583500,50113800030000,822886700,STK,5
2022-05-30,035420,NAVER,KOSPI,,281000,1,11000,4.07,274000,282500,273500,751170,209793169500,46097792885000,164049085,STK,6
2022-05-30,005380,현대차,KOSPI,,187500,1,2000,1.08,187500,188000,185500,368902,69031227000,40062785062500,213668187,STK,7
2022-05-30,006400,삼성SDI,KOSPI,,581000,2,-9000,-1.53,597000,598000,569000,392919,227225071000,39952191930000,68764530,STK,8
2022-05-30,051910,LG화학,KOSPI,,557000,1,7000,1.27,559000,563000,541000,249598,138917831000,39319935051000,70592343,STK,9
2022-05-30,035720,카카오,KOSPI,,83900,1,2200,2.69,82800,84000,82600,2091429,174415059300,37258995113800,444088142,STK,10
2022-05-30,000270,기아,KOSPI,,83600,1,700,0.84,83700,84000,82700,789515,65838051100,33888375809200,405363347,STK,11
2022-05-30,005490,POSCO홀딩스,KOSPI,,294000,3,0,0.0,295000,296000,292500,200031,58828279000,25632929490000,87186835,STK,12
2022-05-30,105560,KB금융,KOSPI,,60000,1,200,0.33,60000,60700,59900,694248,41788093400,24741149640000,412352494,STK,13
2022-05-30,028260,삼성물산,KOSPI,,120500,1,3500,2.99,117500,120500,117000,446577,53314550500,22519893260500,186887081,STK,14
2022-05-30,055550,신한지주,KOSPI,,43200,1,300,0.7,43000,43450,42900,981376,42455189550,22158754459200,512934131,STK,15
2022-05-30,068270,셀트리온,KOSPI,,157000,1,1000,0.64,157000,159000,155000,318865,50141847500,22100552607000,140767851,STK,16
2022-05-30,323410,카카오뱅크,KOSPI,,41300,1,50,0.12,41500,41750,40800,914296,37786041850,19669390848100,476256437,STK,17
2022-05-30,012330,현대모비스,KOSPI,,206000,1,4000,1.98,203500,206500,203000,159768,32746884000,19482057364000,94573094,STK,18
2022-05-30,096770,SK이노베이션,KOSPI,,210000,2,-1000,-0.47,212000,212500,208500,168097,35395513000,19417768440000,92465564,STK,19
2022-05-30,034730,SK,KOSPI,,243000,1,5000,2.1,240500,243000,240000,110215,26652141000,18018286947000,74149329,STK,20
2022-05-30,066570,LG전자,KOSPI,,106000,1,2500,2.42,105000,106000,104500,623975,65826215500,17346668284000,163647814,STK,21
2022-05-30,011200,HMM,KOSPI,,31950,2,-1800,-5.33,34000,34050,31650,7824229,254458616000,15624811897200,489039496,STK,22
2022-05-30,015760,한국전력,KOSPI,,23300,2,-500,-2.1,23850,23950,23300,1656444,39065149050,14957762994100,641964077,STK,23
2022-05-30,086790,하나금융지주,KOSPI,,49500,1,450,0.92,48950,49900,48950,759235,37661593000,14647222062000,295903476,STK,24
2022-05-30,377300,카카오페이,KOSPI,,108500,1,4500,4.33,106000,109000,105000,213327,22882625500,14374213780500,132481233,STK,25
2022-05-30,032830,삼성생명,KOSPI,,68700,2,-1100,-1.58,69500,70300,68700,255512,17764747700,13740000000000,200000000,STK,26
2022-05-30,003550,LG,KOSPI,,81900,1,7200,9.64,77400,82000,77200,1023699,82276929000,12882951326700,157300993,STK,27
2022-05-30,034020,두산에너빌리티,KOSPI,,20250,1,100,0.5,20450,20700,20150,3302730,67167536900,12802353547500,632214990,STK,28
2022-05-30,259960,크래프톤,KOSPI,,259000,1,10000,4.02,254000,260500,252500,173129,44673505500,12709659655000,49072045,STK,29
2022-05-30,010950,S-Oil,KOSPI,,112500,1,2500,2.27,110500,112500,110000,225791,25096398500,12665564100000,112582792,STK,30
2022-05-30,017670,SK텔레콤,KOSPI,,57100,2,-100,-0.17,57600,58100,57000,504675,29028148700,12495372522400,218833144,STK,31
2022-05-30,033780,KT&G,KOSPI,,84000,2,-1200,-1.41,85200,85200,83700,348870,29397707900,11532569748000,137292497,STK,32
2022-05-30,018260,삼성에스디에스,KOSPI,,149000,1,2000,1.36,147500,149500,146000,104990,15591563500,11529292200000,77377800,STK,33
2022-05-30,009150,삼성전기,KOSPI,,153500,1,4000,2.68,151500,154000,151000,424498,64910849500,11465482336000,74693696,STK,34
2022-05-30,051900,LG생활건강,KOSPI,,720000,1,7000,0.98,714000,728000,714000,55085,39847316000,11245101840000,15618197,STK,35
2022-05-30,247540,에코프로비엠,KOSDAQ,우량기업부,489200,1,22100,4.73,478300,489700,469100,162464,78091071500,11212202767200,22919466,KSQ,36
2022-05-30,010130,고려아연,KOSPI,,581000,1,5000,0.87,581000,583000,579000,20560,11946164000,10963470000000,18870000,STK,37
2022-05-30,316140,우리금융지주,KOSPI,,14950,1,50,0.34,15000,15150,14900,1615577,24281709500,10884505207550,728060549,STK,38
2022-05-30,329180,현대중공업,KOSPI,,119500,2,-3500,-2.85,123000,125000,119000,356189,43131745500,10608387362000,88773116,STK,39
2022-05-30,302440,SK바이오사이언스,KOSPI,,134500,2,-1000,-0.74,137000,137000,134500,121087,16391009500,10327454187000,76784046,STK,40
2022-05-30,003490,대한항공,KOSPI,,29400,2,-50,-0.17,29600,29850,29300,1240867,36599213000,10225932255000,347820825,STK,41
2022-05-30,003670,포스코케미칼,KOSPI,,132000,1,3500,2.72,131500,133000,129500,497750,65415154000,10225145040000,77463220,STK,42
2022-05-30,036570,엔씨소프트,KOSPI,,456000,1,5000,1.11,455500,459500,453000,59645,27203080500,10011034032000,21954022,STK,43
2022-05-30,030200,KT,KOSPI,,37700,2,-350,-0.92,38250,38300,37600,1008194,38254364200,9843915161600,261111808,STK,44
2022-05-30,091990,셀트리온헬스케어,KOSDAQ,우량기업부,60900,1,200,0.33,61300,61400,60000,374852,22808717900,9631632496500,158154885,KSQ,45
2022-05-30,090430,아모레퍼시픽,KOSPI,,161500,1,5500,3.53,158500,162000,158000,320869,51503498500,9446580578500,58492759,STK,46
2022-05-30,352820,하이브,KOSPI,,228000,1,9500,4.35,222500,228000,220500,214345,48214283000,9428572236000,41353387,STK,47
2022-05-30,000810,삼성화재,KOSPI,,199000,2,-500,-0.25,200000,203500,198000,76550,15332133000,9427592563000,47374837,STK,48
2022-05-30,066970,엘앤에프,KOSDAQ,중견기업부,249900,1,6100,2.5,247000,252000,243500,1046596,256414890400,8978811038400,35929616,KSQ,49
2022-05-30,011070,LG이노텍,KOSPI,,377500,1,6500,1.75,378000,383500,376000,191463,72814468500,8934332892500,23667107,STK,50
2022-05-30,361610,SK아이이테크놀로지,KOSPI,,122000,1,1000,0.83,122500,123000,121000,120741,14712842500,8698306224000,71297592,STK,51
2022-05-30,024110,기업은행,KOSPI,,11250,3,0,0.0,11250,11350,11250,675840,7634414100,8373381603750,744300587,STK,52
2022-05-30,086280,현대글로비스,KOSPI,,206500,2,-2000,-0.96,211000,214000,206000,122911,25711011000,7743750000000,37500000,STK,53
2022-05-30,011170,롯데케미칼,KOSPI,,207000,1,7500,3.76,201000,208500,200500,190303,39170795500,7095011733000,34275419,STK,54
2022-05-30,251270,넷마블,KOSPI,,82000,1,200,0.24,82300,82700,81500,101167,8302680900,7048187164000,85953502,STK,55
2022-05-30,009830,한화솔루션,KOSPI,,36800,1,1100,3.08,36100,37200,35550,1820290,66421878700,7039048689600,191278497,STK,56
2022-05-30,326030,SK바이오팜,KOSPI,,87900,1,200,0.23,88500,88500,87600,65884,5795476300,6883734675000,78313250,STK,57
2022-05-30,402340,SK스퀘어,KOSPI,,47100,1,1100,2.39,46550,47300,46400,326036,15285699150,6663122594100,141467571,STK,58
2022-05-30,009540,한국조선해양,KOSPI,,90000,1,400,0.45,89800,91300,89800,97515,8837779600,6369580440000,70773116,STK,59
2022-05-30,034220,LG디스플레이,KOSPI,,17300,1,50,0.29,17400,17400,17250,833298,14419097500,6190211610000,357815700,STK,60
